"Story","Title","Result","Date","Stability","Duration (s)"
"Annotations test","Podam should assign exactly the values specified with the @PodamStrategyValue annotation","SUCCESS","2017-10-20T17:32:34.930+05:30","0.0","0.16"
"Annotations test","Podam should assign precise values and lengths when a String is annotated with @PodamStringValue","SUCCESS","2017-10-20T17:32:36.177+05:30","0.0","0.11"
"Annotations test","Podam should handle POJOs with annotated field and setter","SUCCESS","2017-10-20T17:32:35.250+05:30","0.0","0.14"
"Annotations test","Podam should handle POJOs with constructors that have one or more self references to the POJO class, provided the required constructor is annotated with @PodamConstructor","SUCCESS","2017-10-20T17:32:35.625+05:30","0.0","0.13"
"Annotations test","Podam should handle POJOs with multiple annotated fields, ignoring any non Podam annotation ","SUCCESS","2017-10-20T17:32:34.387+05:30","0.0","0.15"
"Annotations test","Podam should handle both native and wrapped boolean values with @PodamBooleanValue annotation","SUCCESS","2017-10-20T17:32:34.274+05:30","0.0","0.11"
"Annotations test","Podam should handle both native and wrapped byte values with @PodamByteValue annotation","SUCCESS","2017-10-20T17:32:34.538+05:30","0.0","0.14"
"Annotations test","Podam should handle both native and wrapped char values with @PodamCharValue annotation","SUCCESS","2017-10-20T17:32:34.674+05:30","0.0","0.13"
"Annotations test","Podam should handle both native and wrapped double values with @PodamDoubleValue annotation","SUCCESS","2017-10-20T17:32:34.806+05:30","0.0","0.12"
"Annotations test","Podam should handle both native and wrapped float values with @PodamFloatValue annotation","SUCCESS","2017-10-20T17:32:35.396+05:30","0.0","0.23"
"Annotations test","Podam should handle both native and wrapped integer values with @PodamIntValue annotation","SUCCESS","2017-10-20T17:32:34.159+05:30","0.0","0.11"
"Annotations test","Podam should handle both native and wrapped long values with @PodamLongValue annotation","SUCCESS","2017-10-20T17:32:35.757+05:30","0.0","0.15"
"Annotations test","Podam should handle both native and wrapped short values with @PodamShortValue annotation","SUCCESS","2017-10-20T17:32:35.907+05:30","0.0","0.13"
"Annotations test","Podam should handle immutable POJOs annotated with @PodamConstructor","SUCCESS","2017-10-20T17:32:35.096+05:30","0.0","0.15"
"Annotations test","Podam should not fill POJO's attributes annotated with @PodamExclude","SUCCESS","2017-10-20T17:32:34.023+05:30","0.0","0.14"
"Annotations test","The @PodamCollection annotation should allow to set sizes on all collections and arrays","SUCCESS","2017-10-20T17:32:36.036+05:30","0.0","0.14"
