"Story","Title","Result","Date","Stability","Duration (s)"
"Random data provider strategy impl initialisation unit test","Creating a Random Data Provider Strategy should create a Method heavy comparator","SUCCESS","2017-10-20T17:32:29.501+05:30","0.0","0.14"
"Random data provider strategy impl initialisation unit test","Creating a Random Data Provider Strategy should create a Method light comparator","SUCCESS","2017-10-20T17:32:29.756+05:30","0.0","0.15"
"Random data provider strategy impl initialisation unit test","Creating a Random Data Provider Strategy should create a constructor heavy comparator","SUCCESS","2017-10-20T17:32:29.381+05:30","0.0","0.12"
"Random data provider strategy impl initialisation unit test","Creating a Random Data Provider Strategy should create a constructor light comparator","SUCCESS","2017-10-20T17:32:29.643+05:30","0.0","0.11"
"Memoization test","Even when memoization is true, if generics Pojos have different types, objects should not be equal","SUCCESS","2017-10-20T17:32:33.800+05:30","0.0","0.15"
"Class info test","In Presence of excluded attributes, the Class Info object should not contain those attributes","SUCCESS","2017-10-20T17:32:47.472+05:30","0.0","0.1"
"Abnormal pojos test","Invoking Podam on a POJO with a circular constructor (e.g. java.net.URL) leads to a null POJO","SUCCESS","2017-10-20T17:32:30.703+05:30","0.0","0.21"
"Abnormal pojos test","Invoking Podam on a POJO with a private, no arguments constructor, should return a non null POJO","SUCCESS","2017-10-20T17:32:30.586+05:30","0.0","0.12"
"Abnormal pojos test","Invoking Podam on a POJO with both circular and non circular constructors (e.g. javax.activation.DataHandler) should lead to a non empty POJO","SUCCESS","2017-10-20T17:32:32.122+05:30","0.0","0.21"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2017-10-20T17:32:40.119+05:30","0.0","0.11"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2017-10-20T17:32:39.732+05:30","0.0","0.14"
"Memoization test","Memoization should work correctly for collections and arrays","SUCCESS","2017-10-20T17:32:33.318+05:30","0.0","0.2"
"Memoization test","Memoization should work for recursive Pojos","SUCCESS","2017-10-20T17:32:33.518+05:30","0.0","0.15"
"Memoization test","Memoization should work with Generics","SUCCESS","2017-10-20T17:32:33.669+05:30","0.0","0.13"
"Type manufacturing test","Podam Messaging System should return a Byte wrapped value","SUCCESS","2017-10-20T17:32:37.474+05:30","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a Character wrapped value","SUCCESS","2017-10-20T17:32:38.031+05:30","0.0","0.13"
"Type manufacturing test","Podam Messaging System should return a Double wrapped value","SUCCESS","2017-10-20T17:32:38.369+05:30","0.0","0.12"
"Type manufacturing test","Podam Messaging System should return a Float wrapped value","SUCCESS","2017-10-20T17:32:36.384+05:30","0.0","0.15"
"Type manufacturing test","Podam Messaging System should return a Long wrapped value","SUCCESS","2017-10-20T17:32:36.799+05:30","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a Short wrapped value","SUCCESS","2017-10-20T17:32:37.820+05:30","0.0","0.1"
"Type manufacturing test","Podam Messaging System should return a String value","SUCCESS","2017-10-20T17:32:37.580+05:30","0.0","0.13"
"Type manufacturing test","Podam Messaging System should return a boolean primitive value","SUCCESS","2017-10-20T17:32:38.263+05:30","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a boolean wrapped value","SUCCESS","2017-10-20T17:32:37.250+05:30","0.0","0.12"
"Type manufacturing test","Podam Messaging System should return a byte primitive value","SUCCESS","2017-10-20T17:32:37.123+05:30","0.0","0.13"
