"Story","Title","Result","Date","Stability","Duration (s)"
"Type manufacturing test","Podam Messaging System should return a Byte wrapped value","SUCCESS","2017-10-20T17:32:37.474+05:30","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a Character wrapped value","SUCCESS","2017-10-20T17:32:38.031+05:30","0.0","0.13"
"Type manufacturing test","Podam Messaging System should return a Double wrapped value","SUCCESS","2017-10-20T17:32:38.369+05:30","0.0","0.12"
"Type manufacturing test","Podam Messaging System should return a Float wrapped value","SUCCESS","2017-10-20T17:32:36.384+05:30","0.0","0.15"
"Type manufacturing test","Podam Messaging System should return a Long wrapped value","SUCCESS","2017-10-20T17:32:36.799+05:30","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a Short wrapped value","SUCCESS","2017-10-20T17:32:37.820+05:30","0.0","0.1"
"Type manufacturing test","Podam Messaging System should return a String value","SUCCESS","2017-10-20T17:32:37.580+05:30","0.0","0.13"
"Type manufacturing test","Podam Messaging System should return a boolean primitive value","SUCCESS","2017-10-20T17:32:38.263+05:30","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a boolean wrapped value","SUCCESS","2017-10-20T17:32:37.250+05:30","0.0","0.12"
"Type manufacturing test","Podam Messaging System should return a byte primitive value","SUCCESS","2017-10-20T17:32:37.123+05:30","0.0","0.13"
"Type manufacturing test","Podam Messaging System should return a char primitive value","SUCCESS","2017-10-20T17:32:37.368+05:30","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a double primitive value","SUCCESS","2017-10-20T17:32:38.158+05:30","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a float primitive value","SUCCESS","2017-10-20T17:32:37.925+05:30","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a long primitive value","SUCCESS","2017-10-20T17:32:36.908+05:30","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a short primitive value","SUCCESS","2017-10-20T17:32:36.530+05:30","0.0","0.14"
"Type manufacturing test","Podam Messaging System should return an Enum value","SUCCESS","2017-10-20T17:32:36.670+05:30","0.0","0.13"
"Type manufacturing test","Podam Messaging System should return an int primitive value","SUCCESS","2017-10-20T17:32:37.714+05:30","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return an integer value","SUCCESS","2017-10-20T17:32:37.017+05:30","0.0","0.11"
