"Story","Title","Result","Date","Stability","Duration (s)"
"Abnormal pojos test","Invoking Podam on a POJO with a circular constructor (e.g. java.net.URL) leads to a null POJO","SUCCESS","2017-10-20T17:32:30.703+05:30","0.0","0.21"
"Abnormal pojos test","Invoking Podam on a POJO with a private, no arguments constructor, should return a non null POJO","SUCCESS","2017-10-20T17:32:30.586+05:30","0.0","0.12"
"Abnormal pojos test","Invoking Podam on a POJO with both circular and non circular constructors (e.g. javax.activation.DataHandler) should lead to a non empty POJO","SUCCESS","2017-10-20T17:32:32.122+05:30","0.0","0.21"
"Abnormal pojos test","Podam should fill POJOs with protected, non default constructors","SUCCESS","2017-10-20T17:32:31.176+05:30","0.0","0.14"
"Abnormal pojos test","Podam should fill POJOs with public, non default constructors","SUCCESS","2017-10-20T17:32:30.909+05:30","0.0","0.15"
"Abnormal pojos test","Podam should fill embedded abstract classes if a concrete type has been specified","SUCCESS","2017-10-20T17:32:31.059+05:30","0.0","0.12"
"Abnormal pojos test","Podam should fill values invoking children setters accepting a type different from the parent type","SUCCESS","2017-10-20T17:32:30.432+05:30","0.0","0.15"
"Abnormal pojos test","Podam should generate a non null POJO for Abstract types with a concrete type","SUCCESS","2017-10-20T17:32:31.536+05:30","0.0","0.14"
"Abnormal pojos test","Podam should handle POJOs with private constructors only","SUCCESS","2017-10-20T17:32:31.959+05:30","0.0","0.16"
"Abnormal pojos test","Podam should handle POJOs with self reference constructors but not default constructors without the need for the @PodamConstructor annotation","SUCCESS","2017-10-20T17:32:31.678+05:30","0.0","0.12"
"Abnormal pojos test","Podam should return a null value for non instantiable POJOs","SUCCESS","2017-10-20T17:32:31.315+05:30","0.0","0.22"
"Abnormal pojos test","Podam should throw an exception if a POJO contains invalid getters or setters","SUCCESS","2017-10-20T17:32:31.796+05:30","0.0","0.16"
